Squad,Poss,90s,Gls.1,Ast.1,G+A.1,G-PK.1,xG.1,xAG.1,xG+xAG,npxG+xAG.1,PrgC,PrgP,CrdY,CrdR,Season,League,League_ID
Augsburg,44.3,34,1.03,0.76,1.79,1.0,1.02,0.74,1.76,1.71,450,1162,78,5,2024-25,Bundesliga,3
Bayern Munich,67.9,34,2.82,1.94,4.76,2.56,2.4,1.76,4.16,3.93,831,2138,48,1,2024-25,Bundesliga,3
Bochum,45.5,34,0.94,0.68,1.62,0.91,1.23,0.88,2.11,2.04,378,1090,71,2,2024-25,Bundesliga,3
Dortmund,58.9,34,2.03,1.65,3.68,1.88,1.8,1.39,3.19,3.06,701,1563,71,6,2024-25,Bundesliga,3
Eint Frankfurt,49.7,34,2.0,1.38,3.38,1.91,1.91,1.33,3.24,3.13,585,1347,55,1,2024-25,Bundesliga,3
Freiburg,48.7,34,1.35,1.03,2.38,1.35,1.3,0.9,2.2,2.11,442,1129,54,2,2024-25,Bundesliga,3
Gladbach,49.6,34,1.56,1.15,2.71,1.44,1.49,1.11,2.6,2.48,530,1112,53,3,2024-25,Bundesliga,3
Heidenheim,43.5,34,1.09,0.76,1.85,0.94,1.18,0.84,2.02,1.91,516,974,66,1,2024-25,Bundesliga,3
Hoffenheim,48.7,34,1.35,0.88,2.24,1.26,1.25,0.96,2.22,2.15,481,1218,66,2,2024-25,Bundesliga,3
Holstein Kiel,43.6,34,1.44,0.85,2.29,1.32,1.17,0.79,1.96,1.84,359,875,77,4,2024-25,Bundesliga,3
Leverkusen,59.2,34,2.06,1.56,3.62,1.97,1.67,1.23,2.91,2.76,696,1692,62,1,2024-25,Bundesliga,3
Mainz 05,50.4,34,1.56,1.09,2.65,1.44,1.47,1.1,2.58,2.49,466,1286,71,5,2024-25,Bundesliga,3
RB Leipzig,52.2,34,1.5,1.06,2.56,1.41,1.37,1.05,2.42,2.32,516,1353,68,5,2024-25,Bundesliga,3
St. Pauli,44.2,34,0.76,0.65,1.41,0.74,1.04,0.77,1.81,1.76,418,1073,53,4,2024-25,Bundesliga,3
Stuttgart,57.2,34,1.79,1.32,3.12,1.74,1.83,1.33,3.17,3.03,545,1493,72,5,2024-25,Bundesliga,3
Union Berlin,40.0,34,1.06,0.74,1.79,0.97,1.09,0.69,1.78,1.71,390,1049,72,1,2024-25,Bundesliga,3
Werder Bremen,50.0,34,1.56,1.12,2.68,1.47,1.45,1.1,2.54,2.44,495,1351,75,4,2024-25,Bundesliga,3
Wolfsburg,46.1,34,1.56,1.12,2.68,1.44,1.4,0.97,2.37,2.25,489,1205,75,3,2024-25,Bundesliga,3
Augsburg,43.9,34,1.44,1.03,2.47,1.29,1.36,0.81,2.17,2.01,462,1137,71,3,2023-24,Bundesliga,3
Bayern Munich,61.3,34,2.74,2.09,4.82,2.59,2.5,1.94,4.44,4.33,944,1941,47,2,2023-24,Bundesliga,3
Bochum,46.6,34,1.21,0.88,2.09,1.09,1.31,0.89,2.2,2.11,400,1151,97,2,2023-24,Bundesliga,3
Darmstadt 98,45.7,34,0.82,0.62,1.44,0.74,0.95,0.67,1.62,1.55,437,1083,83,4,2023-24,Bundesliga,3
Dortmund,57.8,34,2.0,1.44,3.44,1.82,1.87,1.34,3.21,3.07,770,1452,59,4,2023-24,Bundesliga,3
Eint Frankfurt,52.1,34,1.41,1.06,2.47,1.35,1.36,1.0,2.36,2.31,574,1305,70,5,2023-24,Bundesliga,3
Freiburg,46.6,34,1.26,0.94,2.21,1.06,1.45,0.95,2.41,2.2,468,1208,64,4,2023-24,Bundesliga,3
Gladbach,46.8,34,1.62,1.26,2.88,1.47,1.37,1.05,2.41,2.28,598,1227,66,2,2023-24,Bundesliga,3
Heidenheim,42.5,34,1.35,1.0,2.35,1.29,1.16,0.81,1.97,1.9,510,983,54,1,2023-24,Bundesliga,3
Hoffenheim,49.5,34,1.91,1.38,3.29,1.74,1.58,1.17,2.75,2.62,538,1359,86,5,2023-24,Bundesliga,3
Köln,46.5,34,0.82,0.5,1.32,0.68,1.16,0.8,1.96,1.82,618,1086,71,4,2023-24,Bundesliga,3
Leverkusen,61.8,34,2.56,2.09,4.65,2.32,2.16,1.62,3.79,3.61,888,1997,59,0,2023-24,Bundesliga,3
Mainz 05,46.1,34,1.12,0.91,2.03,1.09,1.31,0.94,2.25,2.14,480,1169,99,3,2023-24,Bundesliga,3
RB Leipzig,55.3,34,2.18,1.56,3.74,2.06,1.93,1.4,3.33,3.17,714,1541,61,1,2023-24,Bundesliga,3
Stuttgart,59.9,34,2.29,1.76,4.06,2.15,2.08,1.57,3.65,3.47,693,1618,56,1,2023-24,Bundesliga,3
Union Berlin,42.9,34,0.97,0.68,1.65,0.88,1.18,0.74,1.91,1.77,389,1146,67,7,2023-24,Bundesliga,3
Werder Bremen,46.8,34,1.32,0.97,2.29,1.18,1.38,1.05,2.43,2.28,492,1172,73,2,2023-24,Bundesliga,3
Wolfsburg,48.0,34,1.21,0.79,2.0,1.15,1.15,0.84,1.99,1.92,441,1235,86,5,2023-24,Bundesliga,3
Augsburg,41.7,34,1.21,0.85,2.06,1.09,1.02,0.71,1.74,1.62,331,847,96,5,2022-23,Bundesliga,3
Bayern Munich,64.2,34,2.65,1.97,4.62,2.56,2.2,1.67,3.87,3.75,863,2041,49,3,2022-23,Bundesliga,3
Bochum,46.1,34,1.09,0.82,1.91,1.0,1.18,0.83,2.01,1.94,350,1022,64,1,2022-23,Bundesliga,3
Dortmund,58.2,34,2.38,1.79,4.18,2.26,2.09,1.53,3.62,3.48,783,1628,66,0,2022-23,Bundesliga,3
Eint Frankfurt,52.9,34,1.65,0.97,2.62,1.47,1.53,1.06,2.6,2.46,632,1372,71,1,2022-23,Bundesliga,3
Freiburg,48.1,34,1.5,1.0,2.5,1.29,1.41,0.84,2.25,2.06,427,1039,62,2,2022-23,Bundesliga,3
Gladbach,53.7,34,1.53,1.15,2.68,1.41,1.53,1.21,2.74,2.61,518,1168,62,3,2022-23,Bundesliga,3
Hertha BSC,42.0,34,1.24,0.68,1.91,1.03,1.16,0.74,1.9,1.74,413,914,82,1,2022-23,Bundesliga,3
Hoffenheim,48.3,34,1.35,0.88,2.24,1.15,1.41,0.95,2.36,2.16,457,1175,80,5,2022-23,Bundesliga,3
Köln,49.9,34,1.35,0.91,2.26,1.24,1.41,1.03,2.44,2.35,522,1247,75,3,2022-23,Bundesliga,3
Leverkusen,52.0,34,1.68,1.29,2.97,1.53,1.51,1.15,2.66,2.5,678,1243,75,7,2022-23,Bundesliga,3
Mainz 05,44.8,34,1.59,1.03,2.62,1.47,1.39,0.88,2.27,2.13,364,1155,69,1,2022-23,Bundesliga,3
RB Leipzig,58.1,34,1.88,1.15,3.03,1.71,1.84,1.27,3.11,2.96,599,1450,69,2,2022-23,Bundesliga,3
Schalke 04,46.0,34,0.94,0.71,1.65,0.82,1.16,0.84,2.01,1.9,415,934,68,1,2022-23,Bundesliga,3
Stuttgart,50.2,34,1.32,1.0,2.32,1.18,1.4,1.12,2.52,2.4,609,1278,72,5,2022-23,Bundesliga,3
Union Berlin,43.8,34,1.44,1.12,2.56,1.35,1.12,0.76,1.88,1.72,375,1012,65,2,2022-23,Bundesliga,3
Werder Bremen,49.3,34,1.47,1.09,2.56,1.32,1.21,0.85,2.06,1.92,412,1140,76,1,2022-23,Bundesliga,3
Wolfsburg,50.6,34,1.62,1.29,2.91,1.5,1.51,1.15,2.66,2.5,455,1306,63,0,2022-23,Bundesliga,3
Arminia,40.7,34,0.76,0.53,1.29,0.71,0.77,0.51,1.28,1.23,405,887,55,2,2021-22,Bundesliga,3
Augsburg,41.5,34,1.15,0.76,1.91,1.0,1.08,0.7,1.78,1.67,441,895,74,0,2021-22,Bundesliga,3
Bayern Munich,64.5,34,2.71,2.06,4.76,2.56,2.62,1.96,4.58,4.46,833,2164,36,2,2021-22,Bundesliga,3
Bochum,44.7,34,1.09,0.65,1.74,0.97,1.19,0.78,1.98,1.84,467,926,55,2,2021-22,Bundesliga,3
Dortmund,59.2,34,2.38,1.68,4.06,2.06,1.88,1.32,3.21,2.97,670,1468,63,1,2021-22,Bundesliga,3
Eint Frankfurt,49.6,34,1.26,0.97,2.24,1.24,1.22,0.94,2.16,2.12,609,1255,61,1,2021-22,Bundesliga,3
Freiburg,49.0,34,1.62,1.09,2.71,1.47,1.48,1.01,2.5,2.36,401,1229,34,0,2021-22,Bundesliga,3
Gladbach,54.0,34,1.59,1.12,2.71,1.44,1.65,1.11,2.76,2.6,527,1291,67,1,2021-22,Bundesliga,3
Greuther Fürth,43.6,34,0.76,0.44,1.21,0.62,0.88,0.55,1.43,1.32,413,976,61,0,2021-22,Bundesliga,3
Hertha BSC,43.7,34,1.03,0.68,1.71,0.94,0.98,0.73,1.71,1.64,462,975,62,2,2021-22,Bundesliga,3
Hoffenheim,53.2,34,1.62,1.24,2.85,1.62,1.71,1.38,3.09,3.09,588,1474,75,0,2021-22,Bundesliga,3
Köln,54.8,34,1.53,1.18,2.71,1.5,1.47,1.14,2.61,2.59,550,1406,68,1,2021-22,Bundesliga,3
Leverkusen,53.7,34,2.24,1.71,3.94,2.18,1.84,1.36,3.2,3.06,709,1341,66,2,2021-22,Bundesliga,3
Mainz 05,46.5,34,1.44,1.06,2.5,1.32,1.48,1.07,2.55,2.46,444,1178,62,4,2021-22,Bundesliga,3
RB Leipzig,56.1,34,2.12,1.56,3.68,1.88,1.9,1.45,3.34,3.16,542,1467,49,0,2021-22,Bundesliga,3
Stuttgart,50.7,34,1.18,0.91,2.09,1.15,1.29,0.97,2.26,2.19,571,1269,64,2,2021-22,Bundesliga,3
Union Berlin,43.7,34,1.47,0.97,2.44,1.32,1.38,0.93,2.31,2.2,429,1123,62,1,2021-22,Bundesliga,3
Wolfsburg,50.5,34,1.24,0.74,1.97,1.15,1.4,1.0,2.4,2.31,502,1220,61,3,2021-22,Bundesliga,3
Arminia,42.3,34,0.68,0.47,1.15,0.65,0.97,0.7,1.67,1.62,358,880,52,1,2020-21,Bundesliga,3
Augsburg,41.4,34,1.03,0.68,1.71,0.97,1.1,0.76,1.86,1.74,431,987,71,4,2020-21,Bundesliga,3
Bayern Munich,60.7,34,2.88,2.21,5.09,2.62,2.23,1.62,3.86,3.63,829,2084,44,3,2020-21,Bundesliga,3
Dortmund,59.6,34,2.18,1.68,3.85,2.09,1.95,1.5,3.45,3.28,763,1745,44,1,2020-21,Bundesliga,3
Eint Frankfurt,53.7,34,1.85,1.53,3.38,1.62,1.72,1.29,3.01,2.83,664,1548,82,1,2020-21,Bundesliga,3
Freiburg,47.3,34,1.5,1.0,2.5,1.32,1.34,0.87,2.21,2.07,463,1170,62,0,2020-21,Bundesliga,3
Gladbach,51.7,34,1.85,1.29,3.15,1.56,1.62,1.09,2.71,2.46,612,1371,61,2,2020-21,Bundesliga,3
Hertha BSC,49.6,34,1.18,0.85,2.03,1.06,1.23,0.86,2.09,1.95,589,1176,67,3,2020-21,Bundesliga,3
Hoffenheim,51.2,34,1.5,1.12,2.62,1.35,1.53,1.1,2.62,2.49,581,1517,68,4,2020-21,Bundesliga,3
Köln,46.3,34,0.97,0.68,1.65,0.85,1.19,0.75,1.94,1.81,429,1131,63,1,2020-21,Bundesliga,3
Leverkusen,59.7,34,1.53,1.21,2.74,1.44,1.36,1.02,2.38,2.32,724,1522,58,0,2020-21,Bundesliga,3
Mainz 05,40.7,34,1.15,0.68,1.82,1.0,1.47,1.03,2.49,2.38,442,1046,63,1,2020-21,Bundesliga,3
RB Leipzig,59.7,34,1.74,1.29,3.03,1.5,1.89,1.28,3.18,2.95,624,1718,57,0,2020-21,Bundesliga,3
Schalke 04,44.7,34,0.71,0.59,1.29,0.71,0.84,0.61,1.45,1.38,452,943,74,2,2020-21,Bundesliga,3
Stuttgart,51.5,34,1.59,1.24,2.82,1.41,1.51,1.09,2.6,2.42,701,1467,65,2,2020-21,Bundesliga,3
Union Berlin,44.9,34,1.47,1.15,2.62,1.32,1.38,0.98,2.36,2.2,464,1059,57,2,2020-21,Bundesliga,3
Werder Bremen,43.9,34,1.03,0.74,1.76,0.88,0.97,0.63,1.6,1.49,414,1065,67,3,2020-21,Bundesliga,3
Wolfsburg,51.1,34,1.68,1.41,3.09,1.62,1.44,1.11,2.55,2.49,595,1397,58,3,2020-21,Bundesliga,3
